use_data1,use_data2,use_data3,use_data4,use_data5,use_data6,use_data7,use_data8,use_data9,use_data10,use_data11
35,1160000024,4,2,21,9.5,4.7,0,1,2647.3552,2678.17480448
35,1160000024,4,2,21,10,6.3,0,1,2963.5606,2958.182610888
35,1160000024,4,2,21,10.5,6.3,0,1,3263.9786,3251.414835954
35,1160000024,4,2,21,11,6.5,0,1,3425,3422.3265135
35,1160000024,4,2,21,11.5,6.5,0,1,3486.496,3508.27676992
35,1160000024,4,2,21,12,8.9,0,1,2726.256,3546.364016
35,1160000024,4,2,21,12.5,8.9,0,1,3506.4132,2866.282121712
35,1160000024,4,2,21,13,8.9,0,1,3327.5242,3335.14592576
35,1160000024,4,2,21,13.5,8.9,0,1,3044.4414,3043.63421244
35,1160000024,4,2,21,14,8.9,0,1,2730.3276,2731.06732512
35,1160000024,4,2,21,14.5,8.9,0,1,2322.5202,2322.40743828
35,1160000024,4,2,21,15,8.4,0,1,1879.4776,1852.562222776
35,1160000024,4,2,21,15.5,8.4,0,1,1216.4152,1217.28115152
35,1160000024,4,2,21,16,7.1,0,1,787.5868,793.9630272
35,1160000024,4,2,21,16.5,7.1,0,1,430.6302,407.298255678
35,1160000024,4,2,21,17,6,0,1,166.5664,144.148737408
35,1160000024,4,2,22,6.5,0.3,0,1,33.396,46.013846
35,1160000024,4,2,22,7,0.8,0,1,141.525,185.74666395
35,1160000024,4,2,22,7.5,0.8,0,1,638.4378,612.998426286
35,1160000024,4,2,22,8,2.1,0,1,1524.1226,1368.338648882
35,1160000024,4,2,22,8.5,2.1,0,1,1889.888,1889.9110336
35,1160000024,4,2,22,9,3.8,0,1,2291.8896,2292.0327
35,1160000024,4,2,22,9.5,3.8,0,1,2679.4768,2679.47920912
35,1160000024,4,2,22,10,5.8,0,1,3004.001,3003.049683
35,1160000024,4,2,22,10.5,5.8,0,1,3277.0738,3276.2995463
35,1160000024,4,2,22,11,6.6,0,1,3428.425,3429.2199425
35,1160000024,4,2,22,11.5,6.6,0,1,3539.536,3540.3602416
35,1160000024,4,2,22,12,8.4,0,1,3539.536,3537.1997648
35,1160000024,4,2,22,12.5,8.4,0,1,3506.4132,3558.93862962
35,1160000024,4,2,22,13,8.6,0,1,3313.065,3376.6106082
35,1160000024,4,2,22,13.5,8.6,0,1,3121.6836,3083.023715132
35,1160000024,4,2,22,14,8.5,0,1,2811.4086,2734.498908696
35,1160000024,4,2,22,14.5,8.5,0,1,2414.6122,2381.109371298
35,1160000024,4,2,22,15,8.4,0,1,1950.598,1914.28707912
35,1160000024,4,2,22,15.5,8.4,0,1,1322.9216,1305.058510784
35,1160000024,4,2,22,16,7.6,0,1,851.851,832.84634886
35,1160000024,4,2,22,16.5,7.6,0,1,491.52,495.4678016
35,1160000024,4,2,22,17,6.7,0,1,201.201,185.21075856
35,1160000024,4,2,23,6.5,0.8,0,1,33.396,46.1116926
35,1160000024,4,2,23,7,0.4,0,1,183.6,196.08815835
35,1160000024,4,2,23,7.5,0.4,0,1,723.168,720.20929056
35,1160000024,4,2,23,8,1.7,0,1,1532.4412,1446.884883468
35,1160000024,4,2,23,8.5,1.7,0,1,1918.9968,1952.13966892
35,1160000024,4,2,23,9,3.4,0,1,2310.1722,2345.06960976
35,1160000024,4,2,23,9.5,3.4,0,1,2757.1272,2750.378273036
35,1160000024,4,2,23,10,5.7,0,1,3062.5846,3065.643283414
35,1160000024,4,2,23,10.5,5.7,0,1,3307.304,3271.48860696
35,1160000024,4,2,23,11,7.5,0,1,3485.1132,3432.556888956
35,1160000024,4,2,23,11.5,7.5,0,1,3517.2792,3535.298206956
35,1160000024,4,2,23,12,8.5,0,1,3525.4312,3533.728264672
35,1160000024,4,2,23,12.5,8.5,0,1,3524.1942,3500.431102608
35,1160000024,4,2,23,13,10,0,1,3353.925,3357.70342635
35,1160000024,4,2,23,13.5,10,0,1,3093.2184,3061.285000032
35,1160000024,4,2,23,14,10.1,0,1,2787.898,2706.84866655
35,1160000024,4,2,23,14.5,10.1,0,1,2381.73,2355.869639792
35,1160000024,4,2,23,15,10.8,0,1,1909.4296,1867.125324636
35,1160000024,4,2,23,15.5,10.8,0,1,1321.512,1287.13921771
35,1160000024,4,2,23,16,9.8,0,1,808.128,849.31634112
35,1160000024,4,2,23,16.5,9.8,0,1,491.52,510.143616
35,1160000024,4,2,23,17,8.3,0,1,209.8,188.375702344
35,1160000024,4,2,24,6.5,-0.1,0,1,46.046,33.05740274
35,1160000024,4,2,24,7,0,0,1,218.535,246.18731475
35,1160000024,4,2,24,7.5,0,0,1,744.744,638.93562336
35,1160000024,4,2,24,8,1.5,0,1,1428.3098,1558.92041624
35,1160000024,4,2,24,8.5,1.5,0,1,1846.8394,1949.182307632
35,1160000024,4,2,24,9,3.7,0,1,2258.679,2190.547949178
35,1160000024,4,2,24,9.5,3.7,0,1,2657.472,2549.951596386
35,1160000024,4,2,24,10,5.7,0,1,2948.928,2881.306531366
35,1160000024,4,2,24,10.5,5.7,0,1,3173.8356,3106.686134808
35,1160000024,4,2,24,11,7.1,0,1,3334.8024,3221.530732908
35,1160000024,4,2,24,11.5,7.1,0,1,3445.3512,3357.635939064
35,1160000024,4,2,24,12,8.8,0,1,3435.7712,3378.547534064
35,1160000024,4,2,24,12.5,8.8,0,1,3275.2602,3292.060648974
35,1160000024,4,2,24,13,10.1,0,1,3163.245,3105.17105655
35,1160000024,4,2,24,13.5,10.1,0,1,2919.2644,2872.429404576
35,1160000024,4,2,24,14,11.9,0,1,2563.617,2517.94805108
35,1160000024,4,2,24,14.5,11.9,0,1,2176.5348,2142.297101472
35,1160000024,4,2,24,15,11.4,0,1,1721.2312,1736.972545464
35,1160000024,4,2,24,15.5,11.4,0,1,1193.927,1175.39364029
35,1160000024,4,2,24,16,10.6,0,1,743.6544,742.62176256
35,1160000024,4,2,24,16.5,10.6,0,1,390.144,458.31195136
35,1160000024,4,2,24,17,9.4,0,1,133.6426,187.972290512
35,1160000024,4,2,25,6.5,3.3,0,2,45.99,71.82024992
35,1160000024,4,2,25,7,3.4,0,1,255.255,225.85246215
35,1160000024,4,2,25,7.5,3.4,0,1,638.0948,614.453765324
35,1160000024,4,2,25,8,4.9,0,2,1108.1446,1480.708145426
35,1160000024,4,2,25,8.5,4.9,0,2,1659.6202,1844.549728686
35,1160000024,4,2,25,9,7,0,1,2043.3438,1910.355636012
35,1160000024,4,2,25,9.5,7,0,1,2433.2478,2286.020141812
35,1160000024,4,2,25,10,8.4,0,2,2697.0404,2497.457690192
35,1160000024,4,2,25,10.5,8.4,0,2,2909.628,2793.09840192
35,1160000024,4,2,25,11,10.7,0,2,2992.2336,2968.293528972
35,1160000024,4,2,25,11.5,10.7,0,2,3110.886,3051.556584804
35,1160000024,4,2,25,12,11.5,0,2,2485.3752,3000.84506492
35,1160000024,4,2,25,12.5,11.5,0,2,2482.2276,2451.581193012
35,1160000024,4,2,25,13,12.1,0,2,3061.095,2439.44111955
35,1160000024,4,2,25,13.5,12.1,0,2,2900.2876,1696.60214348
35,1160000024,4,2,25,14,12,0,1,2381.921,1954.71356054
35,1160000024,4,2,25,14.5,12,0,1,2186.306,1963.543867932
35,1160000024,4,2,25,15,12.3,0,2,1658.4984,1680.11092782
35,1160000024,4,2,25,15.5,12.3,0,2,1140.207,1138.98485657
35,1160000024,4,2,25,16,11.7,0,1,701.2608,704.70598656
35,1160000024,4,2,25,16.5,11.7,0,1,350.208,424.3296512
35,1160000024,4,2,25,17,11.1,0,1,102.3824,163.694652014
35,1160000024,4,2,26,6.5,2.5,0,1,73.073,70.36906175
35,1160000024,4,2,26,7,2.2,0,2,283.0432,292.343984932
35,1160000024,4,2,26,7.5,2.2,0,2,744.3128,785.154950692
35,1160000024,4,2,26,8,4.3,0,2,1364.5876,1521.429195656
35,1160000024,4,2,26,8.5,4.3,0,2,1805.8852,1874.048317372
35,1160000024,4,2,26,9,6.9,0,2,2052.7062,2147.876376954
35,1160000024,4,2,26,9.5,6.9,0,2,2604.8762,2399.389004612
35,1160000024,4,2,26,10,8.8,0,2,2838.3432,2653.00169289
35,1160000024,4,2,26,10.5,8.8,0,2,3070.1592,3071.97554364
35,1160000024,4,2,26,11,11.3,0,3,3292.8552,3181.290294564
35,1160000024,4,2,26,11.5,11.3,0,3,3344.652,3140.315592948
35,1160000024,4,2,26,12,12.8,0,2,3324.5928,3234.149601968
35,1160000024,4,2,26,12.5,12.8,0,2,3221.9172,3225.97980288
35,1160000024,4,2,26,13,14.5,0,3,2969.16,3010.08881505
35,1160000024,4,2,26,13.5,14.5,0,3,2726.3336,2733.233311456
35,1160000024,4,2,26,14,15.6,0,4,1868.062,2505.48092326
35,1160000024,4,2,26,14.5,15.6,0,4,894.0648,1661.150462056
35,1160000024,4,2,26,15,14.2,0,3,764.556,1257.333102636
35,1160000024,4,2,26,15.5,14.2,0,3,449.905,616.37131387
35,1160000024,4,2,26,16,14.1,0,4,409.8048,405.824809344
35,1160000024,4,2,26,16.5,14.1,0,4,166.4,260.31067136
35,1160000024,4,2,26,17,13.5,0,4,73.0104,100.55500004
35,1160000024,4,2,28,6.5,9.9,0,3,73.0296,117.6477456
35,1160000024,4,2,28,7,9.6,0,2,218.7152,191.956532716
35,1160000024,4,2,28,7.5,9.6,0,2,787.5868,551.932693928
35,1160000024,4,2,28,8,11.9,0,3,1554.2,1525.836052046
35,1160000024,4,2,28,8.5,11.9,0,3,1868.2916,1950.6426954
35,1160000024,4,2,28,9,13.8,0,2,2268.0414,2338.482646428
35,1160000024,4,2,28,9.5,13.8,0,2,2380.652,2703.408258214
35,1160000024,4,2,28,10,14.5,0,3,2890.5638,2841.904460612
35,1160000024,4,2,28,10.5,14.5,0,3,3153.7692,3080.833889364
35,1160000024,4,2,28,11,15.9,0,3,3334.8024,3442.960388808
35,1160000024,4,2,28,11.5,15.9,0,3,3254.742,3397.201409988
35,1160000024,4,2,28,12,16.7,0,3,3364.0432,3510.847140264
35,1160000024,4,2,28,12.5,16.7,0,3,3051.2196,3343.384829796
35,1160000024,4,2,28,13,17.6,0,3,3142.815,2960.78890965
35,1160000024,4,2,28,13.5,17.6,0,3,2176.0064,2797.352471204
35,1160000024,4,2,28,14,17.3,0,3,1479.119,2086.02031988
35,1160000024,4,2,28,14.5,17.3,0,3,1563.392,1262.66585398
35,1160000024,4,2,28,15,16.8,0,3,1576.1616,1264.46917428
35,1160000024,4,2,28,15.5,16.8,0,3,1064.999,1053.19045762
35,1160000024,4,2,28,16,15.9,0,3,637.6704,638.986685952
35,1160000024,4,2,28,16.5,15.9,0,3,350.208,408.35629056
35,1160000024,4,2,28,17,14.3,0,4,102.3824,195.095344584
43,1160000035,4,2,22,6.5,0.3,0,1,33.4,33.4226118
43,1160000035,4,2,22,7,0.8,0,1,73.04,108.5684578
43,1160000035,4,2,22,7.5,0.8,0,1,350.7504,297.973863312
43,1160000035,4,2,22,8,2.1,0,1,937.7368,942.57940024
43,1160000035,4,2,22,8.5,2.1,0,1,1407.8064,1407.8064
43,1160000035,4,2,22,9,3.8,0,1,1744.3426,1743.98815516
43,1160000035,4,2,22,9.5,3.8,0,1,2055.4534,2055.53368794
43,1160000035,4,2,22,10,5.8,0,1,2240.6384,2239.7408016
43,1160000035,4,2,22,10.5,5.8,0,1,2404.402,2403.223819
43,1160000035,4,2,22,11,6.6,0,1,2544.6,2544.012731766
43,1160000035,4,2,22,11.5,6.6,0,1,2565,2545.756857
43,1160000035,4,2,22,12,8.4,0,1,2564.7168,2578.158449724
43,1160000035,4,2,22,12.5,8.4,0,1,2506.504,2499.22294392
43,1160000035,4,2,22,13,8.6,0,1,2281.6794,2221.43508594
43,1160000035,4,2,22,13.5,8.6,0,1,2218.1112,2272.230282636
43,1160000035,4,2,22,14,8.5,0,1,1992.3288,2092.467428516
43,1160000035,4,2,22,14.5,8.5,0,1,1741.8132,1811.78917596
43,1160000035,4,2,22,15,8.4,0,1,1332.8234,1319.930468578
43,1160000035,4,2,22,15.5,8.4,0,1,872.544,872.02643658
43,1160000035,4,2,22,16,7.6,0,1,430.2,409.01039145
