Building,Year,Month,Day,Hour,Quarter,P1(Day),P2(Holiday),P3(HighestTemp),P4(CloudCover),P5(SolarIrradiance),Generation
1,2019,05,13,04,2,1,4,28.00,5,,0.00
1,2019,05,13,04,3,1,4,28.00,5,,0.00
1,2019,05,13,05,0,1,4,28.00,5,,0.00
1,2019,05,13,05,1,1,4,28.00,5,,0.00
1,2019,05,13,05,2,1,4,28.00,5,,0.00
1,2019,05,13,05,3,1,4,28.00,5,,0.00
1,2019,05,13,06,0,1,4,28.00,5,,0.00
1,2019,05,13,06,1,1,4,28.00,5,,0.00
1,2019,05,13,06,2,1,4,28.00,5,,0.00
1,2019,05,13,06,3,1,4,28.00,5,,0.00
1,2019,05,13,07,0,1,4,28.00,5,,0.00
1,2019,05,13,07,1,1,4,28.00,5,,0.00
1,2019,05,13,07,2,1,4,28.00,5,,0.00
1,2019,05,13,07,3,1,4,28.00,5,,0.00
1,2019,05,13,08,0,1,4,28.00,5,,0.00
1,2019,05,13,08,1,1,4,28.00,5,,0.00
1,2019,05,13,08,2,1,4,28.00,5,,0.00
1,2019,05,13,08,3,1,4,28.00,5,,0.00
1,2019,05,13,09,0,1,4,28.00,5,,0.00
1,2019,05,13,09,1,1,4,28.00,5,,0.00
1,2019,05,13,09,2,1,4,28.00,5,,0.00
1,2019,05,13,09,3,1,4,28.00,5,,0.00
1,2019,05,13,10,0,1,4,28.00,5,,0.00
1,2019,05,13,10,1,1,4,28.00,5,,0.00
1,2019,05,13,10,2,1,4,28.00,5,,0.00
1,2019,05,13,10,3,1,4,28.00,5,,0.00
1,2019,05,13,11,0,1,4,28.00,5,,0.00
1,2019,05,13,11,1,1,4,28.00,5,,0.00
1,2019,05,13,11,2,1,4,28.00,5,,0.00
1,2019,05,13,11,3,1,4,28.00,5,,0.00
1,2019,05,13,12,0,1,4,28.00,5,,0.00
1,2019,05,13,12,1,1,4,28.00,5,,0.00
1,2019,05,13,12,2,1,4,28.00,5,,0.00
1,2019,05,13,12,3,1,4,28.00,5,,0.00
1,2019,05,13,13,0,1,4,28.00,5,,387.00
1,2019,05,13,13,1,1,4,28.00,5,,11.00
1,2019,05,13,13,2,1,4,28.00,5,,11.00
1,2019,05,13,13,3,1,4,28.00,5,,11.00
1,2019,05,13,14,0,1,4,28.00,5,,12.00
1,2019,05,13,14,1,1,4,28.00,5,,10.00
1,2019,05,13,14,2,1,4,28.00,5,,11.00
1,2019,05,13,14,3,1,4,28.00,5,,11.00
1,2019,05,13,15,0,1,4,28.00,5,,11.00
1,2019,05,13,15,1,1,4,28.00,5,,11.00
1,2019,05,13,15,2,1,4,28.00,5,,10.00
1,2019,05,13,15,3,1,4,28.00,5,,8.00
1,2019,05,13,16,0,1,4,28.00,5,,6.00
1,2019,05,13,16,1,1,4,28.00,5,,6.00
1,2019,05,13,16,2,1,4,28.00,5,,5.00
1,2019,05,13,16,3,1,4,28.00,5,,4.00
1,2019,05,13,17,0,1,4,28.00,5,,3.00
1,2019,05,13,17,1,1,4,28.00,5,,3.00
1,2019,05,13,17,2,1,4,28.00,5,,3.00
1,2019,05,13,17,3,1,4,28.00,5,,1.00
1,2019,05,13,18,0,1,4,28.00,5,,1.00
