ID,generation,forecast_generation
1,0.05931,0.083499254
1,0.1332176,0.091869349
1,0.102336,0.113852638
1,0.16606,0.13358083
1,0.1836788,0.255208878
1,0.2920746,0.205560724
1,0.165738,0.2303518
1,0.116343,0.15405623
1,0.047268,0.2707406
1,0.1177792,0.046763696
1,0.1499532,0.32860434
1,0.273588,0.464052149
1,0.2931208,0.36874104
1,0.3109068,0.281535388
1,0.2369024,0.35471904
1,0.1488864,0.177130914
1,0.0722314,0.13740764
1,0.0463828,0.059728769
1,0.0733714,0.04732972
1,0.0462592,0.049588417
1,0.045968,0.01649102
1,0.045906,0.008897676
1,0.04599,0.016163149
