ID,year,month,day,hour,half-time,Humidity,WindSpeed,Temp,CloudCover,Rain
1,14,5,31,20,2,55,2.6,25.3,2,0
1,14,5,31,20.5,1,55,2.6,25.3,2,0
1,14,5,31,21,2,65,2.3,24.4,0,0
1,14,5,31,21.5,1,65,2.3,24.4,0,0
1,14,5,31,22,2,64,3.6,24.1,0,0
1,14,5,31,22.5,1,64,3.6,24.1,0,0
1,14,5,31,23,2,72,2.4,22.9,0,0
1,14,5,31,23.5,1,72,2.4,22.9,0,0
1,14,5,31,24,2,78,2,22.2,0,0
1,14,6,1,0.5,1,78,2,22.2,0,0
1,14,6,1,1,2,79,1.3,22.1,0,0
1,14,6,1,1.5,1,79,1.3,22.1,0,0
1,14,6,1,2,2,83,2,21.5,0,0
1,14,6,1,2.5,1,83,2,21.5,0,0
1,14,6,1,3,2,83,1.4,21.3,0,0
1,14,6,1,3.5,1,83,1.4,21.3,0,0
1,14,6,1,4,2,83,1.6,21.2,0,0
1,14,6,1,4.5,1,83,1.6,21.2,0,0
1,14,6,1,5,2,76,2.4,21.8,0,0
1,14,6,1,5.5,1,76,2.4,21.8,0,0
1,14,6,1,6,2,71,1.6,22.3,0,0
1,14,6,1,6.5,1,71,1.6,22.3,0,0
1,14,6,1,7,2,57,0.6,24.3,0,0
1,14,6,1,7.5,1,57,0.6,24.3,0,0
1,14,6,1,8,2,45,2,26.5,0,0
1,14,6,1,8.5,1,45,2,26.5,0,0
1,14,6,1,9,2,40,1.1,27.9,0,0
1,14,6,1,9.5,1,40,1.1,27.9,0,0
1,14,6,1,10,2,34,0.9,29.8,0,0
1,14,6,1,10.5,1,34,0.9,29.8,0,0
1,14,6,1,11,2,29,1.7,30.9,0,0
1,14,6,1,11.5,1,29,1.7,30.9,0,0
1,14,6,1,12,2,41,1.5,31.6,0,0
1,14,6,1,12.5,1,41,1.5,31.6,0,0
1,14,6,1,13,2,36,4.3,32.3,0,0
1,14,6,1,13.5,1,36,4.3,32.3,0,0
1,14,6,1,14,2,33,4.1,31.5,0,0
1,14,6,1,14.5,1,33,4.1,31.5,0,0
1,14,6,1,15,2,31,4.2,31.3,0,0
1,14,6,1,15.5,1,31,4.2,31.3,0,0
1,14,6,1,16,2,30,3.3,31.4,0,0
1,14,6,1,16.5,1,30,3.3,31.4,0,0
1,14,6,1,17,2,34,2.4,31.6,0,0
1,14,6,1,17.5,1,34,2.4,31.6,0,0
1,14,6,1,18,2,45,4,29.1,0,0
1,14,6,1,18.5,1,45,4,29.1,0,0
1,14,6,1,19,2,52,4.4,27,0,0
1,14,6,1,19.5,1,52,4.4,27,0,0
1,14,6,1,20,2,51,2.7,26.6,0,0
1,14,6,1,20.5,1,51,2.7,26.6,0,0
1,14,6,1,21,2,59,2.7,25.5,0,0
1,14,6,1,21.5,1,59,2.7,25.5,0,0
1,14,6,1,22,2,62,2.1,24.7,0,0
1,14,6,1,22.5,1,62,2.1,24.7,0,0
1,14,6,1,23,2,64,2.5,24,0,0
1,14,6,1,23.5,1,64,2.5,24,0,0
1,14,6,1,24,2,71,2.6,23.2,0,0
1,14,6,2,0.5,1,71,2.6,23.2,0,0
1,14,6,2,1,2,77,1.1,22.3,0,0
1,14,6,2,1.5,1,77,1.1,22.3,0,0
1,14,6,2,2,2,80,1.1,21.9,0,0
1,14,6,2,2.5,1,80,1.1,21.9,0,0
1,14,6,2,3,2,80,1.4,21.6,0,0
1,14,6,2,3.5,1,80,1.4,21.6,0,0
1,14,6,2,4,2,82,2.1,21.4,0,0
1,14,6,2,4.5,1,82,2.1,21.4,0,0
1,14,6,2,5,2,82,1.4,21.5,0,0
1,14,6,2,5.5,1,82,1.4,21.5,0,0
1,14,6,2,6,2,76,1,23.1,1,0
1,14,6,2,6.5,1,76,1,23.1,1,0
1,14,6,2,7,2,70,3.1,24,1,0
1,14,6,2,7.5,1,70,3.1,24,1,0
1,14,6,2,8,2,58,3.4,25.3,1,0
1,14,6,2,8.5,1,58,3.4,25.3,1,0
1,14,6,2,9,2,53,2.1,26.4,3,0
1,14,6,2,9.5,1,53,2.1,26.4,3,0
1,14,6,2,10,2,46,2,27.8,3,0
1,14,6,2,10.5,1,46,2,27.8,3,0
1,14,6,2,11,2,42,3.3,28.5,3,0
1,14,6,2,11.5,1,42,3.3,28.5,3,0
1,14,6,2,12,2,42,2.4,30.6,10,0
1,14,6,2,12.5,1,42,2.4,30.6,10,0
1,14,6,2,13,2,41,2.6,30.2,10,0
1,14,6,2,13.5,1,41,2.6,30.2,10,0
1,14,6,2,14,2,40,2.1,30.4,10,0
1,14,6,2,14.5,1,40,2.1,30.4,10,0
1,14,6,2,15,2,41,3,30.7,10,0
1,14,6,2,15.5,1,41,3,30.7,10,0
1,14,6,2,16,2,40,4.3,30.5,10,0
